Destination Country,Destination City/Port,"ORIGIN                       (Port of Loading)          3 Only -        Toronto, Montreal, Vancouver",DESTINATION                (Port of Unloading)   Various,Sailing Frequency,Transit Time (Days)             (Port to Port),Ocean Freight Charges PER CBM Rate (USD),(Minimim Ocean Freight Charges/ shipment)
BAHAMAS,FREEPORT VIA MIAMI,Toronto,FPO,Weekly,5,280,280
BAHAMAS,FREEPORT VIA MIAMI,Vancouver,FPO,Weekly,5,330,330
BAHAMAS,NASSAU VIA MIAMI,Montreal,NAS,Weekly,1,250,250
BAHAMAS,NASSAU VIA MIAMI,Toronto,NAS,Weekly,1,250,250
BAHAMAS,NASSAU VIA MIAMI,Vancouver,NAS,Weekly,1,305,305
BAHRAIN,BAHRAIN VIA DUBAI,Montreal,BAH,Weekly,30,157,157
BAHRAIN,BAHRAIN VIA DUBAI,Toronto,BAH,Weekly,30,162,162
BAHRAIN,BAHRAIN VIA DUBAI,Vancouver,BAH,Weekly,30,192,192
BANGLADESH,CHITTAGONG VIA HONG KONG,Montreal,CGP,Weekly,41,150,150
BANGLADESH,CHITTAGONG VIA HONG KONG,Toronto,CGP,Weekly,41,150,150
BANGLADESH,CHITTAGONG VIA HONG KONG,Vancouver,CGP,Weekly,41,170,185
BARBADOS,BRIDGETOWN VIA MIAMI,Montreal,BGT,Weekly,6,225,225
BARBADOS,BRIDGETOWN VIA MIAMI,Toronto,BGT,Weekly,6,225,225
BARBADOS,BRIDGETOWN VIA MIAMI,Vancouver,BGT,Weekly,6,285,305
BELARUS,MINSK VIA HAMBURG,Montreal,MSQ,Weekly,21,264.5,639.5
BELARUS,MINSK VIA HAMBURG,Toronto,MSQ,Weekly,21,269.5,644.5
BELARUS,MINSK VIA HAMBURG,Vancouver,MSQ,Weekly,21,329.5,699.5
BELGIUM,ANTWERP,Montreal,ANR,Weekly,7,92,92
BELGIUM,ANTWERP,Toronto,ANR,Weekly,7,97,97
BELGIUM,ANTWERP,Vancouver,ANR,Weekly,7,132,132
BELIZE,BELIZE CITY VIA MIAMI,Montreal,BZE,Weekly,5,245,245
BELIZE,BELIZE CITY VIA MIAMI,Toronto,BZE,Weekly,5,245,245
BELIZE,BELIZE CITY VIA MIAMI,Vancouver,BZE,Weekly,5,290,400
BENIN,COTONOU VIA ANTWERP,Montreal,COO,Weekly,35,364.5,364.5
BENIN,COTONOU VIA ANTWERP,Toronto,COO,Weekly,35,369.5,369.5
BENIN,COTONOU VIA ANTWERP,Vancouver,COO,Weekly,35,419.5,479.5
