Destination Country,Destination City/Port,"ORIGIN                       (Port of Loading)          3 Only -        Toronto, Montreal, Vancouver",DESTINATION                (Port of Unloading)   Various,Sailing Frequency,Transit Time (Days)             (Port to Port),Ocean Freight Charges PER CBM Rate (USD),(Minimim Ocean Freight Charges/ shipment)
CHINA,TAICANG VIA HONG KONG,Vancouver,TAG,Weekly,50,175,175
CHINA,TIANJIN VIA BUSAN,Montreal,TSN,Weekly,28,130,130
CHINA,TIANJIN VIA BUSAN,Toronto,TSN,Weekly,28,130,130
CHINA,TIANJIN VIA BUSAN,Vancouver,TSN,Weekly,28,120,120
CHINA,WENZHOU (ZHEJIANG) DEST. VIA HKG,Montreal,WZH,Weekly,30,5,5
CHINA,WENZHOU (ZHEJIANG) DEST. VIA HKG,Toronto,WZH,Weekly,30,5,5
CHINA,WENZHOU (ZHEJIANG) DEST. VIA HKG,Vancouver,WZH,Weekly,30,5,5
CHINA,WUHAN (HUBEI) DEST. VIA HKG,Montreal,WHN,Weekly,40,195,195
CHINA,WUHAN (HUBEI) DEST. VIA HKG,Toronto,WHN,Weekly,40,195,195
CHINA,WUHAN (HUBEI) DEST. VIA HKG,Vancouver,WHN,Weekly,40,190,190
CHINA,WUHU VIA SHANGHAI,Montreal,WHI,Weekly,28,195,195
CHINA,WUHU VIA SHANGHAI,Toronto,WHI,Weekly,28,195,195
CHINA,WUHU VIA SHANGHAI,Vancouver,WHI,Weekly,28,185,185
CHINA,WUXI VIA SHANGHAI,Montreal,WUX,Weekly,27,165,175
CHINA,WUXI VIA SHANGHAI,Toronto,WUX,Weekly,27,165,175
CHINA,WUXI VIA SHANGHAI,Vancouver,WUX,Weekly,27,150,150
CHINA,XIAMEN (FUJIAN) DEST. VIA HKG,Montreal,XMN,Weekly,28,130,130
CHINA,XIAMEN (FUJIAN) DEST. VIA HKG,Toronto,XMN,Weekly,28,130,130
CHINA,XIAMEN (FUJIAN) DEST. VIA HKG,Vancouver,XMN,Weekly,28,125,125
CHINA,XINGANG VIA BUSAN,Montreal,XIC,Weekly,22,135,135
CHINA,XINGANG VIA BUSAN,Toronto,XIC,Weekly,22,135,135
CHINA,XINGANG VIA BUSAN,Vancouver,XIC,Weekly,22,110,110
CHINA,XUZHOU VIA SHANGHAI,Montreal,XUZ,Weekly,28,255,405
CHINA,XUZHOU VIA SHANGHAI,Toronto,XUZ,Weekly,28,255,405
CHINA,XUZHOU VIA SHANGHAI,Vancouver,XUZ,Weekly,28,230,355
CHINA,YANGCHENG VIA SHANGHAI,Montreal,YGC,Weekly,28,225,305
CHINA,YANGCHENG VIA SHANGHAI,Toronto,YGC,Weekly,28,225,305
CHINA,YANGCHENG VIA SHANGHAI,Vancouver,YGC,Weekly,28,205,270
CHINA,YANGZHOU VIA SHANGHAI,Montreal,YZH,Weekly,27,215,295
CHINA,YANGZHOU VIA SHANGHAI,Toronto,YZH,Weekly,27,215,295
CHINA,YANGZHOU VIA SHANGHAI,Vancouver,YZH,Weekly,27,195,255
CHINA,YANTAI VIA BUSAN,Montreal,YAN,Weekly,24,160,160
CHINA,YANTAI VIA BUSAN,Toronto,YAN,Weekly,24,160,160
CHINA,YANTAI VIA BUSAN,Vancouver,YAN,Weekly,24,160,160
CHINA,YUEQING VIA SHANGHAI,Montreal,YQG,Weekly,28,215,295
CHINA,YUEQING VIA SHANGHAI,Toronto,YQG,Weekly,28,215,295
CHINA,YUEQING VIA SHANGHAI,Vancouver,YQG,Weekly,28,195,255
CHINA,ZHANGJIAGANG (JIANGSU)  VIA SHANGHAI,Montreal,ZJG,Weekly,27,170,170
CHINA,ZHANGJIAGANG (JIANGSU)  VIA SHANGHAI,Toronto,ZJG,Weekly,27,170,170
CHINA,ZHANGJIAGANG (JIANGSU)  VIA SHANGHAI,Vancouver,ZJG,Weekly,27,150,150
CHINA,ZHENGZHOU VIA SHANGHAI,Montreal,CGO,Weekly,29,225,345
CHINA,ZHENGZHOU VIA SHANGHAI,Toronto,CGO,Weekly,29,225,345
CHINA,ZHENGZHOU VIA SHANGHAI,Vancouver,CGO,Weekly,29,205,320
CHINA,ZHENJIANG VIA SHANGHAI,Montreal,ZHE,Weekly,27,150,150
CHINA,ZHENJIANG VIA SHANGHAI,Toronto,ZHE,Weekly,27,150,150
CHINA,ZHENJIANG VIA SHANGHAI,Vancouver,ZHE,Weekly,27,140,140
CHINA,ZHONGSHAN (GUANGDONG) VIA HONG KONG,Montreal,ZHO,Weekly,27,140,140
CHINA,ZHONGSHAN (GUANGDONG) VIA HONG KONG,Toronto,ZHO,Weekly,27,140,140
CHINA,ZHONGSHAN (GUANGDONG) VIA HONG KONG,Vancouver,ZHO,Weekly,27,135,135
CHINA,ZHUHAI (JIUZHOU)(GUANGDONG) VIA HKG,Montreal,ZHU,Weekly,27,185,195
CHINA,ZHUHAI (JIUZHOU)(GUANGDONG) VIA HKG,Toronto,ZHU,Weekly,27,185,195
CHINA,ZHUHAI (JIUZHOU)(GUANGDONG) VIA HKG,Vancouver,ZHU,Weekly,27,185,195
COLOMBIA,BARRANQUILLA VIA MIAMI,Montreal,BAQ,Weekly,7,215,215
COLOMBIA,BARRANQUILLA VIA MIAMI,Toronto,BAQ,Weekly,7,215,215
COLOMBIA,BARRANQUILLA VIA MIAMI,Vancouver,BAQ,Weekly,7,285,285
COLOMBIA,BOGOTA VIA MIAMI CARTAGENA,Vancouver,BOG,Weekly,24,405,670
COLOMBIA,BOGOTA VIA NEW YORK / CARTAGENA,Montreal,BOG,Weekly,12,355,605
COLOMBIA,BOGOTA VIA NEW YORK / CARTAGENA,Toronto,BOG,Weekly,12,355,605
COLOMBIA,BUENAVENTURA VIA MIAMI,Montreal,BUN,Weekly,13,240,240
COLOMBIA,BUENAVENTURA VIA MIAMI,Toronto,BUN,Weekly,13,240,240
COLOMBIA,BUENAVENTURA VIA MIAMI,Vancouver,BUN,Weekly,13,295,390
COLOMBIA,CALI VIA MIAMI/BUENAVENTURA,Montreal,CLO,Weekly,22,390,470
COLOMBIA,CALI VIA MIAMI/BUENAVENTURA,Toronto,CLO,Weekly,22,390,470
COLOMBIA,CALI VIA MIAMI/BUENAVENTURA,Vancouver,CLO,Weekly,22,410,580
COLOMBIA,CARTAGENA VIA MIAMI,Vancouver,CTG,Weekly,3,255,255
COLOMBIA,CARTAGENA VIA NEW YORK,Montreal,CTG,Weekly,7,190,190
COLOMBIA,CARTAGENA VIA NEW YORK,Toronto,CTG,Weekly,7,190,190
COLOMBIA,MEDELLIN VIA MIAMI/BUENAVENTURA,Montreal,MDE,Weekly,10,390,470
COLOMBIA,MEDELLIN VIA MIAMI/BUENAVENTURA,Toronto,MDE,Weekly,10,390,470
COLOMBIA,MEDELLIN VIA MIAMI/BUENAVENTURA,Vancouver,MDE,Weekly,10,410,580
COLOMBIA,SANTA MARTA VIA MIAMI/CARTAGENA,Vancouver,SMR,Weekly,10,495,740
COLOMBIA,SANTA MARTA VIA NEW YORK / CARTAGENA,Montreal,SMR,Weekly,12,445,650
COLOMBIA,SANTA MARTA VIA NEW YORK / CARTAGENA,Toronto,SMR,Weekly,12,445,650
CONGO,POINTE NOIRE VIA ANTWERP,Montreal,PNR,Weekly,34,404.5,404.5
CONGO,POINTE NOIRE VIA ANTWERP,Toronto,PNR,Weekly,34,409.5,409.5
CONGO,POINTE NOIRE VIA ANTWERP,Vancouver,PNR,Weekly,34,454.5,454.5
COOK ISLANDS,RAROTONGA VIA AUCKLAND,Montreal,RAR,Bi Weekly,41,440,520
COOK ISLANDS,RAROTONGA VIA AUCKLAND,Toronto,RAR,Bi Weekly,41,440,520
COOK ISLANDS,RAROTONGA VIA AUCKLAND,Vancouver,RAR,Bi Weekly,41,400,400
COOK ISLANDS,RAROTONGA VIA SINGAPORE/AUCKLAND,Montreal,RAR,Weekly,66,410,410
COOK ISLANDS,RAROTONGA VIA SINGAPORE/AUCKLAND,Toronto,RAR,Weekly,66,425,425
COOK ISLANDS,RAROTONGA VIA SINGAPORE/AUCKLAND,Vancouver,RAR,Weekly,66,405,405
COSTA RICA,SAN JOSE VIA MIAMI,Vancouver,SJO,Weekly,7,250,250
COSTA RICA,SAN JOSE VIA NEW YORK,Montreal,SJO,Weekly,7,155,155
COSTA RICA,SAN JOSE VIA NEW YORK,Toronto,SJO,Weekly,7,155,155
CROATIA,RIJEKA VIA HAMBURG,Montreal,RJK,Weekly,16,254.5,574.5
CROATIA,RIJEKA VIA HAMBURG,Toronto,RJK,Weekly,16,259.5,579.5
CROATIA,RIJEKA VIA HAMBURG,Vancouver,RJK,Weekly,16,314.5,644.5
CROATIA,ZAGREB VIA HAMBURG,Montreal,ZAG,Weekly,21,284.5,644.5
CROATIA,ZAGREB VIA HAMBURG,Toronto,ZAG,Weekly,21,289.5,649.5
CROATIA,ZAGREB VIA HAMBURG,Vancouver,ZAG,Weekly,21,334.5,699.5
CUBA,MARIEL VIA ANTWERP,Montreal,MAE,Weekly,39,369.5,369.5
CUBA,MARIEL VIA ANTWERP,Toronto,MAE,Weekly,39,374.5,374.5
CUBA,MARIEL VIA ANTWERP,Vancouver,MAE,Weekly,39,419.5,419.5
CURACAO,WILLEMSTAD VIA MIAMI,Montreal,WIL,Weekly,5,275,275
CURACAO,WILLEMSTAD VIA MIAMI,Toronto,WIL,Weekly,5,275,275
CURACAO,WILLEMSTAD VIA MIAMI,Vancouver,WIL,Weekly,5,335,335
CYPRUS,LIMASSOL VIA BARCELONA,Montreal,LMS,Weekly,34,184.5,184.5
CYPRUS,LIMASSOL VIA BARCELONA,Toronto,LMS,Weekly,34,189.5,189.5
CYPRUS,LIMASSOL VIA BARCELONA,Vancouver,LMS,Weekly,34,234.5,234.5
CYPRUS,NICOSIA VIA BARCELONA,Montreal,NIC,Weekly,34,199.5,209.5
CYPRUS,NICOSIA VIA BARCELONA,Toronto,NIC,Weekly,34,204.5,214.5
CYPRUS,NICOSIA VIA BARCELONA,Vancouver,NIC,Weekly,34,254.5,264.5
CZECH REPUBLIC,PRAGUE VIA HAMBURG,Montreal,PRG,Weekly,18,149.5,149.5
CZECH REPUBLIC,PRAGUE VIA HAMBURG,Toronto,PRG,Weekly,18,154.5,154.5
CZECH REPUBLIC,PRAGUE VIA HAMBURG,Vancouver,PRG,Weekly,18,184.5,184.5
DEM. REP. CONGO,KINSHASA VIA ANTWERP,Montreal,FIH,Weekly,52,814.5,814.5
DEM. REP. CONGO,KINSHASA VIA ANTWERP,Toronto,FIH,Weekly,52,819.5,819.5
DEM. REP. CONGO,KINSHASA VIA ANTWERP,Vancouver,FIH,Weekly,52,889.5,889.5
DENMARK,AARHUS VIA GOTHENBURG,Montreal,AAR,Weekly,20,119.5,119.5
DENMARK,AARHUS VIA GOTHENBURG,Toronto,AAR,Weekly,20,124.5,124.5
DENMARK,AARHUS VIA GOTHENBURG,Vancouver,AAR,Weekly,30,169.5,169.5
DENMARK,COPENHAGEN VIA GOTHENBURG,Montreal,CPH,Weekly,20,119.5,119.5
DENMARK,COPENHAGEN VIA GOTHENBURG,Toronto,CPH,Weekly,20,124.5,124.5
DENMARK,COPENHAGEN VIA GOTHENBURG,Vancouver,CPH,Weekly,30,169.5,169.5
DENMARK,ODENSE VIA GOTHENBURG,Montreal,ODE,Weekly,24,174.5,174.5
DENMARK,ODENSE VIA GOTHENBURG,Toronto,ODE,Weekly,24,179.5,179.5
DENMARK,ODENSE VIA GOTHENBURG,Vancouver,ODE,Weekly,24,229.5,229.5
DJIBOUTI,DJIBOUTI VIA DUBAI,Montreal,JIB,Weekly,44,192,192
DJIBOUTI,DJIBOUTI VIA DUBAI,Toronto,JIB,Weekly,44,192,192
DJIBOUTI,DJIBOUTI VIA DUBAI,Vancouver,JIB,Weekly,44,242,242
DOMINICA,ROSEAU VIA MIAMI,Montreal,RSU,Weekly,5,310,440
DOMINICA,ROSEAU VIA MIAMI,Toronto,RSU,Weekly,5,310,440
DOMINICA,ROSEAU VIA MIAMI,Vancouver,RSU,Weekly,5,400,480
DOMINICAN REPUBLIC,RIO HAINA VIA MIAMI,Vancouver,HAI,Weekly,45,255,255
DOMINICAN REPUBLIC,RIO HAINA VIA NEW YORK,Montreal,HAI,Weekly,8,165,165
DOMINICAN REPUBLIC,RIO HAINA VIA NEW YORK,Toronto,HAI,Weekly,8,165,165
DOMINICAN REPUBLIC,SANTO DOMINGO VIA MIAMI,Vancouver,SDQ,Weekly,21,255,255
DOMINICAN REPUBLIC,SANTO DOMINGO VIA NEW YORK,Montreal,SDQ,Weekly,8,180,180
DOMINICAN REPUBLIC,SANTO DOMINGO VIA NEW YORK,Toronto,SDQ,Weekly,8,180,180
ECUADOR,GUAYAQUIL VIA MIAMI,Vancouver,GYE,Weekly,7,240,240
ECUADOR,GUAYAQUIL VIA NEW YORK,Montreal,GYE,Weekly,13,190,190
ECUADOR,GUAYAQUIL VIA NEW YORK,Toronto,GYE,Weekly,13,190,190
EGYPT,ALEXANDRIA VIA BARCELONA,Montreal,ALX,Weekly,36,164.5,164.5
EGYPT,ALEXANDRIA VIA BARCELONA,Toronto,ALX,Weekly,36,169.5,169.5
EGYPT,ALEXANDRIA VIA BARCELONA,Vancouver,ALX,Weekly,36,189.5,189.5
EGYPT,CAIRO VIA BARCELONA / ALEXANDRIA ,Montreal,CAI,Weekly,31,204.5,214.5
EGYPT,CAIRO VIA BARCELONA / ALEXANDRIA ,Toronto,CAI,Weekly,31,209.5,219.5
EGYPT,CAIRO VIA BARCELONA / ALEXANDRIA ,Vancouver,CAI,Weekly,31,229.5,244.5
EL SALVADOR,SAN SALVADOR VIA MIAMI,Montreal,SAE,Weekly,8,170,170
EL SALVADOR,SAN SALVADOR VIA MIAMI,Toronto,SAE,Weekly,8,170,170
EL SALVADOR,SAN SALVADOR VIA MIAMI,Vancouver,SAE,Weekly,8,235,235
EQUATorontoIAL GUINEA,BATA VIA ANTWERP,Montreal,BSG,Bi Weekly,47,509.5,509.5
EQUATorontoIAL GUINEA,BATA VIA ANTWERP,Toronto,BSG,Bi Weekly,47,514.5,514.5
EQUATorontoIAL GUINEA,BATA VIA ANTWERP,Vancouver,BSG,Bi Weekly,47,559.5,559.5
EQUATorontoIAL GUINEA,MALABO VIA ANTWERP,Montreal,MAL,Bi Weekly,47,509.5,509.5
EQUATorontoIAL GUINEA,MALABO VIA ANTWERP,Toronto,MAL,Bi Weekly,47,514.5,514.5
EQUATorontoIAL GUINEA,MALABO VIA ANTWERP,Vancouver,MAL,Bi Weekly,47,559.5,559.5
ERITREA,MASSAWA VIA ANTWERP,Montreal,MSW,Every 3 Weeks,46,442,442
ERITREA,MASSAWA VIA ANTWERP,Toronto,MSW,Every 3 Weeks,46,447,447
ERITREA,MASSAWA VIA ANTWERP,Vancouver,MSW,Every 3 Weeks,46,482,482
ESTONIA,TALLIN VIA HAMBURG,Montreal,TLL,Weekly,21,154.5,154.5
ESTONIA,TALLIN VIA HAMBURG,Toronto,TLL,Weekly,21,159.5,159.5
ESTONIA,TALLIN VIA HAMBURG,Vancouver,TLL,Weekly,21,199.5,199.5
ETHIOPIA,ADDIS ABEBA VIA ANTWERP,Montreal,ADD,Weekly,59,659.5,1159.5
ETHIOPIA,ADDIS ABEBA VIA ANTWERP,Toronto,ADD,Weekly,59,664.5,1164.5
ETHIOPIA,ADDIS ABEBA VIA ANTWERP,Vancouver,ADD,Weekly,59,709.5,1214.5
FIJI,LAUTOKA VIA AUCKLAND,Montreal,LAU,Bi Weekly,37,305,305
FIJI,LAUTOKA VIA AUCKLAND,Toronto,LAU,Bi Weekly,37,305,305
FIJI,LAUTOKA VIA AUCKLAND,Vancouver,LAU,Bi Weekly,37,320,320
FIJI,LAUTOKA VIA SINGAPORE/SUVA,Montreal,LAU,Weekly,49,240,240
FIJI,LAUTOKA VIA SINGAPORE/SUVA,Toronto,LAU,Weekly,49,255,255
FIJI,LAUTOKA VIA SINGAPORE/SUVA,Vancouver,LAU,Weekly,49,255,255
FIJI,SUVA VIA AUCKLAND,Montreal,SUV,Bi Weekly,37,300,300
FIJI,SUVA VIA AUCKLAND,Toronto,SUV,Bi Weekly,37,300,300
FIJI,SUVA VIA AUCKLAND,Vancouver,SUV,Bi Weekly,37,380,395
FIJI,SUVA VIA SINGAPORE,Montreal,SUV,Weekly,50,220,220
FIJI,SUVA VIA SINGAPORE,Toronto,SUV,Weekly,50,230,230
FIJI,SUVA VIA SINGAPORE,Vancouver,SUV,Weekly,50,195,195
FINLAND,HAMINA VIA GOTHENBURG/HELSINKI,Montreal,HMN,Weekly,26,254.5,299.5
FINLAND,HAMINA VIA GOTHENBURG/HELSINKI,Toronto,HMN,Weekly,26,259.5,304.5
FINLAND,HAMINA VIA GOTHENBURG/HELSINKI,Vancouver,HMN,Weekly,26,299.5,344.5
FINLAND,HELSINKI VIA GOTHENBURG,Montreal,HEL,Weekly,20,134.5,134.5
FINLAND,HELSINKI VIA GOTHENBURG,Toronto,HEL,Weekly,20,139.5,139.5
FINLAND,HELSINKI VIA GOTHENBURG,Vancouver,HEL,Weekly,30,189.5,189.5
FINLAND,KOTKA VIA GOTHENBURG / HELSINKI,Montreal,KTK,Weekly,26,174.5,174.5
FINLAND,KOTKA VIA GOTHENBURG / HELSINKI,Toronto,KTK,Weekly,26,179.5,179.5
FINLAND,KOTKA VIA GOTHENBURG / HELSINKI,Vancouver,KTK,Weekly,26,279.5,279.5
FINLAND,TAMPERE VIA GOTHENBURG,Montreal,TMP,Weekly,26,224.5,224.5
FINLAND,TAMPERE VIA GOTHENBURG,Toronto,TMP,Weekly,26,229.5,229.5
FINLAND,TAMPERE VIA GOTHENBURG,Vancouver,TMP,Weekly,26,279.5,279.5
FINLAND,TURKU VIA GOTHENBURG,Montreal,TUR,Weekly,26,174.5,174.5
FINLAND,TURKU VIA GOTHENBURG,Toronto,TUR,Weekly,26,179.5,179.5
FINLAND,TURKU VIA GOTHENBURG,Vancouver,TUR,Weekly,26,229.5,229.5
FRANCE,LE HAVRE,Montreal,LEH,Weekly,13,92,92
FRANCE,LE HAVRE,Toronto,LEH,Weekly,13,97,97
FRANCE,LE HAVRE,Vancouver,LEH,Weekly,13,157,157
FRANCE,LYON VIA MARSEILLE (THRU NYC),Montreal,LYS,Weekly,25,147,147
FRANCE,LYON VIA MARSEILLE (THRU NYC),Toronto,LYS,Weekly,25,147,147
FRANCE,LYON VIA MARSEILLE (THRU NYC),Vancouver,LYS,Weekly,25,202,202
FRANCE,MARSEILLE VIA NEW YORK,Montreal,MRS,Weekly,19,142,142
FRANCE,MARSEILLE VIA NEW YORK,Toronto,MRS,Weekly,19,142,142
FRANCE,MARSEILLE VIA NEW YORK,Vancouver,MRS,Weekly,19,187,187
FRANCE,PARIS (GENNEVILLIERS] VIA LE HAVRE,Montreal,PAR,Weekly,13,144.5,144.5
FRANCE,PARIS (GENNEVILLIERS] VIA LE HAVRE,Toronto,PAR,Weekly,13,149.5,149.5
FRANCE,PARIS (GENNEVILLIERS] VIA LE HAVRE,Vancouver,PAR,Weekly,13,199.5,199.5
FRENCH GUYANA,CAYENNE VIA MIAMI,Montreal,CAY,Weekly,19,477,477
FRENCH GUYANA,CAYENNE VIA MIAMI,Toronto,CAY,Weekly,19,477,477
FRENCH GUYANA,CAYENNE VIA MIAMI,Vancouver,CAY,Weekly,19,537,597
GABON,LIBREVILLE VIA ANTWERP,Montreal,LBV,Weekly,36,484.5,484.5
GABON,LIBREVILLE VIA ANTWERP,Toronto,LBV,Weekly,36,489.5,489.5
GABON,LIBREVILLE VIA ANTWERP,Vancouver,LBV,Weekly,36,514.5,514.5
GABON,PORT GENTILE VIA ANTWERP,Montreal,POG,Weekly,34,564.5,564.5
GABON,PORT GENTILE VIA ANTWERP,Toronto,POG,Weekly,34,569.5,569.5
GABON,PORT GENTILE VIA ANTWERP,Vancouver,POG,Weekly,34,594.5,594.5
GERMANY,BREMEN VIA HAMBURG,Montreal,BRE,Weekly,18,114.5,114.5
GERMANY,BREMEN VIA HAMBURG,Toronto,BRE,Weekly,18,119.5,119.5
GERMANY,BREMEN VIA HAMBURG,Vancouver,BRE,Weekly,18,159.5,159.5
GERMANY,HAMBURG,Montreal,HAM,Weekly,9,92,92
GERMANY,HAMBURG,Toronto,HAM,Weekly,9,97,97
GERMANY,HAMBURG,Vancouver,HAM,Weekly,9,142,142
GHANA,ACCRA VIA ANTWERP,Montreal,ACC,Weekly,49,324.5,324.5
GHANA,ACCRA VIA ANTWERP,Toronto,ACC,Weekly,49,329.5,329.5
GHANA,ACCRA VIA ANTWERP,Vancouver,ACC,Weekly,49,429.5,444.5
GHANA,TEMA VIA ANTWERP,Montreal,TEM,Weekly,35,214.5,214.5
GHANA,TEMA VIA ANTWERP,Toronto,TEM,Weekly,35,219.5,219.5
GHANA,TEMA VIA ANTWERP,Vancouver,TEM,Weekly,35,294.5,294.5
GREECE,PIRAEUS VIA ANTWERP,Montreal,PIR,Weekly,22,192,192
GREECE,PIRAEUS VIA ANTWERP,Toronto,PIR,Weekly,22,197,197
GREECE,PIRAEUS VIA ANTWERP,Vancouver,PIR,Weekly,22,232,232
GREECE,THESSALONIKI VIA ANTWERP/PIRAEUS,Montreal,SKG,Weekly,29,287,287
GREECE,THESSALONIKI VIA ANTWERP/PIRAEUS,Toronto,SKG,Weekly,29,292,292
GREECE,THESSALONIKI VIA ANTWERP/PIRAEUS,Vancouver,SKG,Weekly,29,327,327
GRENADA,ST. GEORGES VIA MIAMI,Montreal,STG,Weekly,7,265,265
GRENADA,ST. GEORGES VIA MIAMI,Toronto,STG,Weekly,7,265,265
GRENADA,ST. GEORGES VIA MIAMI,Vancouver,STG,Weekly,7,320,320
GUADELOUPE,POINTE-A-PITRE VIA MIAMI,Montreal,PTP,Bi Weekly,13,312,312
GUADELOUPE,POINTE-A-PITRE VIA MIAMI,Toronto,PTP,Bi Weekly,13,312,312
GUADELOUPE,POINTE-A-PITRE VIA MIAMI,Vancouver,PTP,Bi Weekly,13,367,367
GUAM,GUAM VIA HONGKONG,Montreal,GUM,Weekly,36,260,260
GUAM,GUAM VIA HONGKONG,Toronto,GUM,Weekly,36,260,260
GUAM,GUAM VIA HONGKONG,Vancouver,GUM,Weekly,36,255,255
GUATEMALA,GUATEMALA CITY  VIA MIAMI,Montreal,GUA,Weekly,3,190,190
GUATEMALA,GUATEMALA CITY  VIA MIAMI,Toronto,GUA,Weekly,3,190,190
GUATEMALA,GUATEMALA CITY  VIA MIAMI,Vancouver,GUA,Weekly,3,255,255
GUINEA,CONAKRY VIA ANTWERP,Montreal,CKY,Weekly,35,519.5,519.5
GUINEA,CONAKRY VIA ANTWERP,Toronto,CKY,Weekly,35,524.5,524.5
GUINEA,CONAKRY VIA ANTWERP,Vancouver,CKY,Weekly,35,584.5,659.5
GUYANA,GEORGETOWN VIA MIA,Montreal,GEO,Weekly,13,265,265
GUYANA,GEORGETOWN VIA MIA,Toronto,GEO,Weekly,13,265,265
GUYANA,GEORGETOWN VIA MIA,Vancouver,GEO,Weekly,13,315,315
HAITI,PORT AU PRINCE VIA MIAMI,Montreal,PAP,Weekly,4,230,230
HAITI,PORT AU PRINCE VIA MIAMI,Toronto,PAP,Weekly,4,230,230
HAITI,PORT AU PRINCE VIA MIAMI,Vancouver,PAP,Weekly,4,305,305
HONDURAS,PUERTO CORTEZ VIA MIAMI,Montreal,PCR,Weekly,9,212.5,212.5
HONDURAS,PUERTO CORTEZ VIA MIAMI,Toronto,PCR,Weekly,9,212.5,212.5
HONDURAS,PUERTO CORTEZ VIA MIAMI,Vancouver,PCR,Weekly,9,267.5,267.5
HONDURAS,SAN PEDRO SULA VIA MIAMI,Montreal,SAP,Weekly,7,200,200
HONDURAS,SAN PEDRO SULA VIA MIAMI,Toronto,SAP,Weekly,7,200,200
HONDURAS,SAN PEDRO SULA VIA MIAMI,Vancouver,SAP,Weekly,7,260,260
HONDURAS,TEGUCIGALPA VIA MIAMI,Montreal,TGU,Weekly,9,200,200
HONDURAS,TEGUCIGALPA VIA MIAMI,Toronto,TGU,Weekly,9,200,200
HONDURAS,TEGUCIGALPA VIA MIAMI,Vancouver,TGU,Weekly,9,255,255
HUNGARY,BUDAPEST VIA HAMBURG,Montreal,BUD,Weekly,18,139.5,139.5
HUNGARY,BUDAPEST VIA HAMBURG,Toronto,BUD,Weekly,18,144.5,144.5
HUNGARY,BUDAPEST VIA HAMBURG,Vancouver,BUD,Weekly,18,204.5,204.5
ICELAND,REYKJAVIK VIA ANTWERP,Montreal,REK,Weekly,19,229.5,229.5
ICELAND,REYKJAVIK VIA ANTWERP,Toronto,REK,Weekly,19,234.5,234.5
ICELAND,REYKJAVIK VIA ANTWERP,Vancouver,REK,Weekly,19,299.5,299.5
INDIA,BANGALORE VIA CHENNAI (THRU NYC),Montreal,BLR,Weekly,42,172,172
INDIA,BANGALORE VIA CHENNAI (THRU NYC),Toronto,BLR,Weekly,42,172,172
INDIA,BANGALORE VIA SINGAPORE,Vancouver,BLR,Weekly,33,220,260
INDIA,CALCUTTA VIA SINGAPORE,Montreal,CCU,Weekly,39,140,140
INDIA,CALCUTTA VIA SINGAPORE,Toronto,CCU,Weekly,39,140,140
INDIA,CALCUTTA VIA SINGAPORE,Vancouver,CCU,Weekly,39,190,255
INDIA,CHENNAI VIA HONG KONG,Vancouver,MAA,Weekly,44,135,135
INDIA,CHENNAI VIA NEW YORK,Montreal,MAA,Weekly,38,142,142
INDIA,CHENNAI VIA NEW YORK,Toronto,MAA,Weekly,38,142,142
INDIA,COCHIN (KOCHI) VIA DUBAI,Montreal,COK,Weekly,40,172,172
INDIA,COCHIN (KOCHI) VIA DUBAI,Toronto,COK,Weekly,40,172,172
INDIA,COCHIN (KOCHI) VIA DUBAI,Vancouver,COK,Weekly,40,237,287
INDIA,HYDERABAD VIA CHENNAI (THRU NYC),Montreal,HYD,Weekly,44,212,212
INDIA,HYDERABAD VIA CHENNAI (THRU NYC),Toronto,HYD,Weekly,44,212,212
INDIA,HYDERABAD VIA CHENNAI (THRU NYC),Vancouver,HYD,Weekly,44,267,267
INDIA,NEW DELHI VIA NHAVA SHEVA (THRU NYC),Montreal,DEL,Weekly,31,165,165
INDIA,NEW DELHI VIA NHAVA SHEVA (THRU NYC),Toronto,DEL,Weekly,31,172,172
INDIA,NEW DELHI VIA SINGAPORE,Vancouver,DEL,Weekly,45,165,165
INDIA,NHAVA SHEVA VIA HONG KONG,Vancouver,NAV,Weekly,45,125,125
INDIA,NHAVA SHEVA VIA NEW YORK,Montreal,NAV,Weekly,24,132,132
INDIA,NHAVA SHEVA VIA NEW YORK,Toronto,NAV,Weekly,24,132,132
INDIA,TUTICORIN VIA DUBAI,Montreal,TUT,Weekly,40,212,212
INDIA,TUTICORIN VIA DUBAI,Toronto,TUT,Weekly,40,212,212
INDIA,TUTICORIN VIA DUBAI,Vancouver,TUT,Weekly,40,267,267
INDONESIA,BATAM VIA SINGAPORE,Montreal,BAT,Weekly,32,415,610
INDONESIA,BATAM VIA SINGAPORE,Toronto,BAT,Weekly,32,415,610
INDONESIA,BATAM VIA SINGAPORE,Vancouver,BAT,Weekly,32,410,600
INDONESIA,BELAWAN VIA SINGAPORE,Montreal,BLW,Weekly,33,140,170
INDONESIA,BELAWAN VIA SINGAPORE,Toronto,BLW,Weekly,33,140,170
INDONESIA,BELAWAN VIA SINGAPORE,Vancouver,BLW,Weekly,33,120,185
INDONESIA,JAKARTA VIA SINGAPORE,Montreal,JKT,Weekly,34,105,105
INDONESIA,JAKARTA VIA SINGAPORE,Toronto,JKT,Weekly,34,105,105
INDONESIA,JAKARTA VIA SINGAPORE,Vancouver,JKT,Weekly,34,100,100
INDONESIA,SEMARANG VIA SINGAPORE,Montreal,SRG,Weekly,35,105,105
