Destination Country,Destination City/Port,"ORIGIN                       (Port of Loading)          3 Only -        Toronto, Montreal, Vancouver",DESTINATION                (Port of Unloading)   Various,Sailing Frequency,Transit Time (Days)             (Port to Port),Ocean Freight Charges PER CBM Rate (USD),(Minimim Ocean Freight Charges/ shipment)
VIETNAM,HAIPHONG VIA BUSAN,Vancouver,HPH,Weekly,26,140,140
VIETNAM,HANOI VIA SINGAPORE,Montreal,HAN,Weekly,47,180,240
VIETNAM,HANOI VIA SINGAPORE,Toronto,HAN,Weekly,47,180,240
VIETNAM,HANOI VIA SINGAPORE,Vancouver,HAN,Weekly,47,185,245
VIETNAM,HO CHI MINH VIA BUSAN,Montreal,SGN,Weekly,26,90,90
VIETNAM,HO CHI MINH VIA BUSAN,Toronto,SGN,Weekly,26,90,90
VIETNAM,HO CHI MINH VIA BUSAN,Vancouver,SGN,Weekly,26,105,105
VIRGIN ISLANDS,"ROAD TOWN, TorontoTOLA VIA MIAMI",Montreal,RAD,Weekly,15,295,355
VIRGIN ISLANDS,"ROAD TOWN, TorontoTOLA VIA MIAMI",Toronto,RAD,Weekly,15,295,355
VIRGIN ISLANDS,"ROAD TOWN, TorontoTOLA VIA MIAMI",Vancouver,RAD,Weekly,25,335,395
VIRGIN ISLANDS,ST. CROIX (CHRISTIANSTED) VIA MIAMI,Montreal,CTD,Weekly,3,315,375
VIRGIN ISLANDS,ST. CROIX (CHRISTIANSTED) VIA MIAMI,Toronto,CTD,Weekly,3,315,375
VIRGIN ISLANDS,ST. CROIX (CHRISTIANSTED) VIA MIAMI,Vancouver,CTD,Weekly,3,385,415
VIRGIN ISLANDS,ST. THOMAS VIA MIAMI,Montreal,STT,Weekly,10,275,375
VIRGIN ISLANDS,ST. THOMAS VIA MIAMI,Toronto,STT,Weekly,10,275,375
VIRGIN ISLANDS,ST. THOMAS VIA MIAMI,Vancouver,STT,Weekly,17,315,415
